fecha;hora;ad_name;ad_set_name;campanya;impresiones;clics;leads;inversion
2019-03-21;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;15;0;0;0.02
2019-03-22;3;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;10;0;0;0.03
2019-03-19;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;29;0;0;0.1
2019-03-23;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;231;14;0;0.83
2019-03-21;14;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;155;13;0;0.59
2019-03-23;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;388;24;0;1.84
2019-03-23;0;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;347;11;0;1.56
2019-03-18;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;132;24;0;1.14
2019-03-22;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;115;10;0;0.39
2019-03-22;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;354;13;0;1.19
2019-03-22;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;224;10;0;0.86
2019-03-19;18;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;451;15;0;1.44
2019-03-22;20;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;516;23;0;1.85
2019-03-20;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;303;21;0;1.24
2019-03-20;19;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;555;16;0;1.75
2019-03-20;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;333;13;0;1.46
2019-03-24;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;318;11;0;0.66
2019-03-24;0;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;285;12;0;1.25
2019-03-18;5;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;28;9;0;0.59
2019-03-18;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;149;21;0;1.81
2019-03-21;23;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;773;21;0;2.12
2019-03-20;6;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;94;4;0;0.27
2019-03-21;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;305;23;0;1.24
2019-03-19;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;337;14;0;1.05
2019-03-20;0;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;320;16;0;1.11
2019-03-23;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;413;13;0;1.29
2019-03-22;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;360;20;0;1.54
2019-03-22;4;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;11;5;0;0.05
2019-03-23;15;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;249;7;0;0.74
2019-03-20;10;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;298;17;0;0.96
2019-03-23;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;236;10;0;1.14
2019-03-21;11;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;255;10;0;0.94
2019-03-22;9;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;277;19;0;0.98
2019-03-22;15;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;432;20;0;1.94
2019-03-20;16;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;630;24;0;1.97
2019-03-24;13;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;436;18;0;1.4
2019-03-20;1;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;171;7;0;0.69
2019-03-19;5;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;74;6;0;0.34
2019-03-24;12;Timeline Photos;AO_Producto_Engagement_Marzo19_HYM;AO_Producto_Engagement_Marzo19_HYM;371;18;0;1.2
