date, pm25, pm10, o3, no2, so2, co
2025/2/19, 68, 21, 30, 11, 1, 
2025/2/20, 61, 17, 28, 10, 1, 
2025/2/21, 54, 19, 24, 9, 1, 
2025/2/22, 57, 8, 29, 7, 1, 
2025/2/23, 27, 9, 22, 11, 1, 
2025/2/24, 24, 7, 25, 6, 1, 
2025/2/25, 14, 5, 30, 9, 1, 
2025/2/26, 14, 10, 22, 13, 1, 
2025/2/27, 26, 11, 33, 9, 1, 
2025/2/28, 36, 7, 31, 4, 1, 
2025/3/1, 23, 5, 32, 2, 1, 
2025/3/2, 17, 10, 32, 5, 1, 
2025/3/3, 35, 10, 31, 4, 1, 
2025/3/4, 38, 9, 34, 3, 1, 
2025/3/5, 32, 11, 33, 2, 1, 
2025/3/6, 43, 9, 26, 7, 1, 
2025/3/7, 33, 16, 30, 7, 1, 
2025/3/8, 52, 2, 33, 1, 1, 
2025/3/9, 9, 4, 30, 5, 1, 
2025/3/10, 12, 3, 33, 3, 1, 
2025/3/11, 9, 4, 29, 4, 1, 
2025/3/12, 9, 7, 25, 10, 1, 
2025/3/13, 24, 7, 19, 12, 1, 
2025/3/14, 26, 5, 32, 6, 1, 
2025/3/15, 21, 7, 26, 6, 1, 
2025/3/16, 25, 7, 25, 7, 1, 
2025/3/17, 26, 7, 29, 5, 1, 
2025/3/18, 27, 13, 32, 3, 1, 
2025/3/19, 39, 16, 31, 4, , 
2025/3/20, 51, 13, 30, 5, 1, 
2025/3/21, 39, 3, 32, 1, 1, 
2025/3/22, 10, 2, 31, 2, 1, 
2025/3/23, 13, 4, 30, 4, 1, 
2025/3/24, 11, 7, 26, 7, 1, 
2025/3/25, 20, 7, 31, 7, 1, 
2025/3/26, 17, 15, 33, 8, 1, 
2025/3/27, 47, 33, 30, 13, 1, 
2025/3/28, 81, 31, 37, 5, 1, 
2025/3/29, 48, 13, 36, 9, 1, 
2025/3/30, 39, 39, 32, 17, 1, 
2025/3/31, 69, 32, 40, 12, 1, 
2024/10/1, 15, 11, 22, 7, 2, 
2024/10/2, 19, 6, 26, 5, 2, 
2024/10/3, 11, 5, 29, 5, 2, 
2024/10/4, 12, 6, 35, 1, 2, 
2024/10/5, 18, 14, 10, 3, 3, 
2024/10/6, 42, 10, 23, 5, 2, 
2024/10/7, 39, 4, 24, 3, 2, 
2024/10/8, 12, 6, 26, , 2, 
2024/10/9, 13, 6, 24, 2, 3, 
2024/10/10, 9, 7, 27, 4, 3, 
2024/10/11, 24, 9, 32, 3, 4, 
2024/10/12, 40, 5, 26, 1, 3, 
2024/10/13, 18, 8, 27, 5, 4, 
2024/10/14, 32, 10, 25, 4, 4, 
2024/10/15, 43, 8, 20, 5, 4, 
2024/10/16, 32, 5, 25, 3, 3, 
2024/10/17, 15, 3, 25, 5, 3, 
2024/10/18, 15, 3, 22, 2, 3, 
2024/10/19, 12, 5, 24, 3, 3, 
2024/10/20, 21, 7, 28, 4, 2, 
2024/10/21, 26, 8, 30, 1, 1, 
2024/10/22, 19, 4, 24, 2, 1, 
2024/10/23, 19, 8, 21, 5, 1, 
2024/10/24, 33, 11, 18, 4, 1, 
2024/10/25, 45, 2, 24, 1, 1, 
2024/10/26, 10, 1, 23, , 1, 
2024/10/27, 7, 3, 25, 3, 1, 
2024/10/28, 14, 11, 27, 1, 1, 
2024/10/29, 46, 21, 23, 6, , 
2024/10/30, 69, 16, 24, 4, 1, 
2024/10/31, 49, 5, 27, 3, , 
